IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
164.152.26.70,2086,true,ORD,North America,Chicago,238 ms,5821 kB/s
141.147.85.169,443,true,FRA,Europe,Frankfurt,263 ms,5521 kB/s
129.146.111.62,443,true,LAX,North America,Los Angeles,205 ms,4168 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,234 ms,3783 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,197 ms,3547 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,347 ms,3432 kB/s
138.2.157.236,443,true,FRA,Europe,Frankfurt,295 ms,2988 kB/s
89.168.118.76,443,true,FRA,Europe,Frankfurt,272 ms,2988 kB/s
158.178.129.114,2053,true,TLV,Middle East,Tel Aviv,294 ms,2953 kB/s
34.163.89.60,2053,true,CDG,Europe,Paris,303 ms,2881 kB/s
131.186.28.236,443,true,NRT,Asia Pacific,Tokyo,95 ms,2836 kB/s
130.162.140.215,443,true,NRT,Asia Pacific,Tokyo,89 ms,2575 kB/s
152.70.59.90,8443,true,AMS,Europe,Amsterdam,263 ms,2537 kB/s
158.101.169.13,2053,true,FRA,Europe,Frankfurt,295 ms,2402 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,239 ms,2308 kB/s
144.24.161.142,8443,true,FRA,Europe,Frankfurt,258 ms,2284 kB/s
130.61.239.203,443,true,FRA,Europe,Frankfurt,293 ms,2134 kB/s
138.3.254.39,443,true,FRA,Europe,Frankfurt,249 ms,2060 kB/s
141.147.87.33,443,true,FRA,Europe,Frankfurt,241 ms,1877 kB/s
141.144.203.153,443,true,FRA,Europe,Frankfurt,244 ms,1820 kB/s
141.147.67.70,443,true,FRA,Europe,Frankfurt,259 ms,1692 kB/s
130.61.107.238,8443,true,FRA,Europe,Frankfurt,303 ms,1631 kB/s
129.146.7.98,443,true,LAX,North America,Los Angeles,191 ms,1625 kB/s
129.146.137.89,2096,true,LAX,North America,Los Angeles,208 ms,1617 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,297 ms,1503 kB/s
144.24.169.81,2053,true,FRA,Europe,Frankfurt,293 ms,1401 kB/s
130.61.203.115,2053,true,FRA,Europe,Frankfurt,300 ms,1342 kB/s
141.148.229.106,443,true,AMS,Europe,Amsterdam,298 ms,1311 kB/s
143.47.243.144,8443,true,LHR,Europe,London,245 ms,1140 kB/s
152.70.234.188,443,true,NRT,Asia Pacific,Tokyo,97 ms,1123 kB/s
143.47.183.17,443,true,FRA,Europe,Frankfurt,286 ms,887 kB/s
158.178.206.197,8443,true,CDG,Europe,Paris,252 ms,873 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,258 ms,828 kB/s
146.56.46.84,443,true,NRT,Asia Pacific,Tokyo,123 ms,819 kB/s
141.148.245.92,443,true,FRA,Europe,Frankfurt,289 ms,796 kB/s
158.179.203.23,443,true,OSL,Europe,Oslo,255 ms,652 kB/s
144.21.51.110,443,true,LHR,Europe,London,236 ms,649 kB/s
129.146.242.24,2053,true,LAX,North America,Los Angeles,199 ms,534 kB/s
193.123.81.105,443,true,MXP,Europe,Milan,180 ms,448 kB/s
140.238.195.98,443,true,SYD,Oceania,Sydney,335 ms,438 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,244 ms,435 kB/s
130.61.239.203,2053,true,FRA,Europe,Frankfurt,298 ms,390 kB/s
158.101.175.51,2053,true,FRA,Europe,Frankfurt,298 ms,352 kB/s
144.24.169.81,8443,true,FRA,Europe,Frankfurt,295 ms,253 kB/s
132.145.54.84,2053,true,LHR,Europe,London,241 ms,246 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,336 ms,224 kB/s
158.178.129.114,8443,true,TLV,Middle East,Tel Aviv,248 ms,221 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,228 ms,192 kB/s
132.145.54.84,8443,true,LHR,Europe,London,255 ms,179 kB/s
89.168.68.57,8443,true,FRA,Europe,Frankfurt,294 ms,163 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,378 ms,160 kB/s
141.145.205.115,8443,true,CDG,Europe,Paris,247 ms,147 kB/s
143.47.243.144,2053,true,LHR,Europe,London,245 ms,140 kB/s
158.101.215.45,8443,true,AMS,Europe,Amsterdam,291 ms,131 kB/s
89.168.43.31,8443,true,CDG,Europe,Paris,245 ms,128 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,259 ms,121 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,295 ms,115 kB/s
150.136.61.148,443,true,IAD,North America,Ashburn,268 ms,109 kB/s
129.153.119.97,443,true,LAX,North America,Los Angeles,198 ms,89 kB/s
158.178.206.197,2053,true,CDG,Europe,Paris,249 ms,83 kB/s
158.180.49.11,8443,true,FRA,Europe,Frankfurt,259 ms,77 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,297 ms,77 kB/s
158.180.49.11,2053,true,FRA,Europe,Frankfurt,260 ms,77 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,337 ms,73 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,191 ms,54 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,233 ms,42 kB/s
158.101.169.13,8443,true,FRA,Europe,Frankfurt,296 ms,25 kB/s
141.144.232.159,443,true,FRA,Europe,Frankfurt,291 ms,16 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,248 ms,0 kB/s
155.248.202.141,443,true,SJC,North America,San Jose,190 ms,0 kB/s
192.18.140.32,443,true,SJC,North America,San Jose,185 ms,0 kB/s
152.70.249.67,443,true,ICN,Asia Pacific,Seoul,102 ms,0 kB/s
152.67.249.123,443,true,SJC,North America,San Jose,179 ms,0 kB/s
168.138.212.87,443,true,NRT,Asia Pacific,Tokyo,159 ms,0 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,284 ms,0 kB/s
141.147.161.250,443,true,NRT,Asia Pacific,Tokyo,169 ms,0 kB/s
193.122.2.46,443,true,FRA,Europe,Frankfurt,243 ms,0 kB/s
129.159.47.255,443,true,SJC,North America,San Jose,176 ms,0 kB/s
158.101.15.48,443,true,LAX,North America,Los Angeles,212 ms,0 kB/s
152.70.248.96,443,true,ICN,Asia Pacific,Seoul,93 ms,0 kB/s
